timestamp,x,y,z
1674563940847,2.012364,-0.540778,9.296116
1674563940863,1.986043,-0.306281,9.214760
1674563940872,1.986043,-0.306281,9.214760
1674563940882,1.940579,-0.131605,9.265009
1674563940892,1.940579,-0.131605,9.265009
1674563940902,1.940579,-0.131605,9.265009
1674563940912,2.012364,-0.172283,9.418150
1674563940923,2.012364,-0.172283,9.418150
1674563940933,2.208575,-0.598206,9.528220
1674563940943,2.208575,-0.598206,9.528220
1674563940953,2.182254,-0.440279,9.602397
1674563940963,2.182254,-0.440279,9.602397
1674563940972,2.100898,-0.162712,9.501899
1674563940982,2.100898,-0.162712,9.501899
1674563940993,2.086541,-0.105284,9.578469
1674563941002,2.086541,-0.105284,9.578469
1674563941012,2.158326,-0.241675,9.638289
1674563941022,2.158326,-0.241675,9.638289
1674563941032,2.096112,-0.392423,9.678967
1674563941042,2.096112,-0.392423,9.678967
1674563941054,2.021935,-0.296710,9.690931
1674563941063,2.021935,-0.296710,9.690931
1674563941073,1.942972,-0.191426,9.547362
1674563941084,1.942972,-0.191426,9.547362
1674563941094,2.060220,-0.291924,9.590433
1674563941104,2.060220,-0.291924,9.590433
1674563941114,2.053042,-0.406780,9.578469
1674563941123,2.053042,-0.406780,9.578469
1674563941133,2.021935,-0.294317,9.580862
1674563941144,2.021935,-0.294317,9.580862
1674563941153,2.048256,-0.404387,9.640682
1674563941164,2.048256,-0.404387,9.640682
1674563941174,2.108077,-0.512064,9.466006
1674563941184,2.108077,-0.512064,9.466006
1674563941194,1.981257,-0.399601,9.413363
1674563941204,1.981257,-0.399601,9.413363
1674563941214,2.014757,-0.327817,9.382257
1674563941225,2.014757,-0.327817,9.382257
1674563941234,2.045863,-0.478565,9.434900
1674563941244,2.045863,-0.478565,9.434900
1674563941255,2.019542,-0.354138,9.480364
1674563941264,2.019542,-0.354138,9.480364
1674563941274,1.933401,-0.507278,9.370294
1674563941284,1.933401,-0.507278,9.370294
1674563941295,2.019542,-0.260818,9.355937
1674563941305,2.019542,-0.260818,9.355937
1674563941315,1.962115,-0.076570,9.401401
1674563941325,1.962115,-0.076570,9.401401
1674563941335,1.883151,-0.449851,9.497113
1674563941344,1.883151,-0.449851,9.497113
1674563941354,1.976472,-0.380459,9.657433
1674563941364,1.976472,-0.380459,9.657433
1674563941375,1.945365,-0.409173,9.473185
1674563941385,1.945365,-0.409173,9.473185
1674563941394,1.974079,-0.222532,9.454042
1674563941406,1.974079,-0.222532,9.454042
1674563941416,1.998007,-0.394816,9.449257
1674563941426,1.998007,-0.394816,9.449257
1674563941435,1.983650,-0.442672,9.674182
1674563941446,1.983650,-0.442672,9.674182
1674563941455,1.940579,-0.241675,9.678967
1674563941466,1.940579,-0.241675,9.678967
1674563941475,1.959722,-0.258425,9.602397
1674563941485,1.959722,-0.258425,9.602397
1674563941496,1.993221,-0.086142,9.492328
1674563941506,1.993221,-0.086142,9.492328
1674563941515,2.017149,-0.234497,9.427721
1674563941524,2.017149,-0.234497,9.427721
1674563941535,2.048256,-0.466600,9.315259
1674563941544,2.048256,-0.466600,9.315259
1674563941554,1.974079,-0.320638,9.432507
1674563941565,1.974079,-0.320638,9.432507
1674563941576,2.076970,-0.378066,9.437292
1674563941586,2.076970,-0.378066,9.437292
1674563941595,2.086541,-0.358923,9.482756
1674563941606,2.086541,-0.358923,9.482756
1674563941615,2.117648,-0.476172,9.430114
1674563941626,2.117648,-0.476172,9.430114
1674563941635,1.947758,-0.334995,9.528220
1674563941646,1.947758,-0.334995,9.528220
1674563941656,1.947758,-0.334995,9.528220
1674563941665,1.950150,-0.342174,9.523434
1674563941675,1.950150,-0.342174,9.523434
1674563941685,1.981257,-0.186640,9.487542
1674563941696,1.981257,-0.186640,9.487542
1674563941705,1.964507,-0.289532,9.454042
1674563941716,1.964507,-0.289532,9.454042
1674563941725,1.897508,-0.607777,9.415757
1674563941736,1.897508,-0.607777,9.415757
1674563941746,1.777867,-0.256032,9.336794
1674563941756,1.777867,-0.256032,9.336794
1674563941766,1.883151,-0.117248,9.310472
1674563941777,1.883151,-0.117248,9.310472
1674563941787,1.971686,-0.296710,9.255438
1674563941797,1.971686,-0.296710,9.255438
1674563941807,2.069792,-0.579063,9.396614
1674563941817,2.069792,-0.579063,9.396614
1674563941827,2.230111,-0.550349,9.643075
1674563941837,2.230111,-0.550349,9.643075
1674563941847,2.160719,-0.270389,9.561719
1674563941856,2.160719,-0.270389,9.561719
1674563941866,2.122434,-0.043071,9.614362
1674563941877,2.122434,-0.043071,9.614362
1674563941887,2.033899,-0.150748,9.621540
1674563941896,2.033899,-0.150748,9.621540
1674563941907,2.091327,-0.375673,9.748360
1674563941917,2.091327,-0.375673,9.748360
1674563941927,2.053042,-0.483350,9.645468
1674563941936,2.053042,-0.483350,9.645468
1674563941947,1.940579,-0.114855,9.454042
1674563941958,1.940579,-0.114855,9.454042
1674563941967,1.971686,-0.145962,9.209974
1674563941977,1.971686,-0.145962,9.209974
1674563941987,2.163112,-0.294317,9.238688
1674563941997,2.163112,-0.294317,9.238688
1674563942008,2.160719,-0.571885,9.406186
1674563942018,2.160719,-0.571885,9.406186
1674563942027,2.175076,-0.507278,9.568897
1674563942037,2.175076,-0.507278,9.568897
1674563942047,2.153540,-0.437887,9.588040
1674563942057,2.153540,-0.437887,9.588040
1674563942067,2.038685,-0.133998,9.518648
1674563942078,2.038685,-0.133998,9.518648
1674563942088,2.060220,-0.160319,9.521042
1674563942097,2.060220,-0.160319,9.521042
1674563942108,2.021935,-0.272782,9.549755
1674563942118,2.021935,-0.272782,9.549755
1674563942129,1.926222,-0.296710,9.382257
1674563942139,1.926222,-0.296710,9.382257
1674563942149,1.952543,-0.334995,9.377472
1674563942158,1.952543,-0.334995,9.377472
1674563942168,2.048256,-0.165105,9.339187
1674563942179,2.048256,-0.165105,9.339187
1674563942188,2.014757,-0.050249,9.303294
1674563942198,2.014757,-0.050249,9.303294
1674563942209,2.055435,-0.418744,9.463614
1674563942218,2.055435,-0.418744,9.463614
1674563942228,2.134398,-0.543171,9.547362
1674563942239,2.134398,-0.543171,9.547362
1674563942248,2.072184,-0.308674,9.456435
1674563942258,2.072184,-0.308674,9.456435
1674563942268,2.062613,-0.191426,9.396614
1674563942279,2.062613,-0.191426,9.396614
1674563942288,2.115255,-0.325424,9.578469
1674563942300,2.115255,-0.325424,9.578469
1674563942310,2.029114,-0.418744,9.611969
1674563942319,2.029114,-0.418744,9.611969
1674563942330,2.096112,-0.535992,9.568897
1674563942339,2.096112,-0.535992,9.568897
1674563942349,1.856830,-0.363709,9.377472
1674563942359,1.856830,-0.363709,9.377472
1674563942370,1.959722,-0.122034,9.296116
1674563942380,1.959722,-0.122034,9.296116
1674563942389,1.938186,-0.287139,9.293723
1674563942399,1.938186,-0.287139,9.293723
1674563942409,2.079363,-0.392423,9.477970
1674563942420,2.079363,-0.392423,9.477970
1674563942429,2.105684,-0.311067,9.578469
1674563942440,2.105684,-0.311067,9.578469
1674563942449,2.067399,-0.354138,9.432507
1674563942459,2.067399,-0.354138,9.432507
