timestamp,x,y,z
1674563940872,-0.071326,-1.326313,-0.319240
1674563940882,-0.116789,-1.151637,-0.268991
1674563940892,-0.090913,0.007280,-0.327912
1674563940902,0.054562,-0.004803,-0.357738
1674563940912,0.048172,-0.037507,-0.188835
1674563940922,0.110912,-0.042587,-0.201520
1674563940933,0.248851,-0.461176,-0.079646
1674563940943,0.185864,-0.438955,-0.066239
1674563940953,0.119856,-0.262747,0.016711
1674563940963,0.121220,-0.256598,0.016533
1674563940973,0.056384,0.023857,-0.087446
1674563940982,0.078164,0.019353,-0.092151
1674563940993,0.076832,0.073941,-0.018371
1674563941002,0.077633,0.072252,-0.018570
1674563941012,0.138185,-0.063524,0.043620
1674563941022,0.116093,-0.058038,0.048402
1674563941032,0.032878,-0.203479,0.093679
1674563941042,0.021640,-0.196052,0.096254
1674563941054,-0.036706,-0.094046,0.104936
1674563941063,-0.036706,-0.094046,0.104936
1674563941073,-0.105832,0.011061,-0.040744
1674563941084,-0.091721,0.008822,-0.043796
1674563941094,0.032276,-0.092499,-0.002172
1674563941104,0.027720,-0.089302,-0.001140
1674563941114,0.013886,-0.200515,-0.011613
1674563941123,0.011691,-0.194867,-0.011024
1674563941133,-0.016069,-0.077961,-0.009243
1674563941144,-0.006104,-0.077403,-0.011342
1674563941153,0.028946,-0.186609,0.046656
1674563941163,0.029270,-0.181580,0.046703
1674563941174,0.083734,-0.283044,-0.126698
1674563941183,0.076651,-0.274589,-0.124994
1674563941194,-0.048056,-0.156034,-0.177932
1674563941203,-0.036821,-0.154055,-0.180252
1674563941214,0.008149,-0.080658,-0.213722
1674563941225,0.014541,-0.080011,-0.215039
1674563941234,0.046334,-0.228714,-0.162487
1674563941245,0.040835,-0.221863,-0.161159
1674563941255,0.008812,-0.090589,-0.114317
1674563941264,0.006737,-0.087320,-0.113791
1674563941274,-0.080038,-0.237629,-0.223649
1674563941284,-0.077673,-0.231332,-0.223966
1674563941295,0.012138,0.020696,-0.238930
1674563941305,0.015878,0.019204,-0.239755
1674563941314,-0.037069,0.201751,-0.195275
1674563941325,-0.034032,0.190277,-0.196233
1674563941335,-0.112996,-0.183004,-0.100520
1674563941344,-0.113708,-0.179277,-0.100268
1674563941354,-0.022490,-0.103754,0.060664
1674563941364,-0.023392,-0.100745,0.060939
1674563941374,-0.050527,-0.128056,-0.124095
1674563941385,-0.043615,-0.126956,-0.125498
1674563941395,-0.006595,0.060120,-0.146344
1674563941406,-0.000429,0.056337,-0.147725
1674563941416,0.026581,-0.118776,-0.153226
1674563941426,0.025364,-0.116305,-0.152905
1674563941436,0.010901,-0.161943,0.072107
1674563941446,0.015765,-0.159788,0.071173
1674563941455,-0.020903,0.042835,0.074697
1674563941466,-0.011904,0.039390,0.072762
1674563941476,0.016802,0.019247,-0.005847
1674563941485,0.023893,0.016830,-0.007347
1674563941495,0.061011,0.187710,-0.118185
1674563941506,0.059291,0.183694,-0.117952
1674563941515,0.074047,0.033544,-0.180759
