timestamp,x,y,z
1674564408245,0.699816,-1.067527,-0.120467
1674564408255,0.699816,-1.067527,-0.120467
1674564408265,-0.166727,0.223138,-0.210289
1674564408274,-0.166727,0.223138,-0.210289
1674564408284,-0.225580,0.146798,-0.014361
1674564408295,-0.243397,0.132761,-0.011626
1674564408305,-0.306181,0.248366,-0.139158
1674564408315,-0.265011,0.255580,-0.144212
1674564408325,-0.074141,0.158759,0.024275
1674564408335,-0.069211,0.155748,0.023912
1674564408346,0.033732,0.201254,-0.128702
1674564408356,0.033732,0.201254,-0.128702
1674564408366,-0.322209,0.242133,0.010278
1674564408375,-0.310364,0.236618,0.009334
1674564408385,-0.160499,0.283570,-0.102042
1674564408395,-0.160499,0.283570,-0.102042
1674564408406,-0.387287,0.195828,0.002680
1674564408416,-0.370810,0.195175,0.001037
1674564408426,-0.121375,-0.143143,-0.002801
1674564408436,-0.117392,-0.138127,-0.003491
1674564408445,-0.197953,0.193339,-0.151999
1674564408456,-0.195968,0.184227,-0.151661
1674564408465,-0.255757,0.316532,-0.137014
1674564408475,-0.251146,0.305973,-0.136828
1674564408486,-0.121286,0.216286,-0.146419
1674564408496,-0.118053,0.212099,-0.146473
1674564408505,-0.032545,-0.030187,0.030381
1674564408516,-0.030160,-0.027407,0.029976
1674564408527,0.040407,0.014738,-0.058764
1674564408537,0.038164,0.013090,-0.058444
1674564408546,-0.100926,0.163336,-0.201570
1674564408556,-0.099629,0.157027,-0.201298
1674564408567,-0.178882,0.044363,-0.045650
1674564408577,-0.174383,0.042768,-0.045982
1674564408586,-0.062566,0.000986,-0.120486
1674564408596,-0.061299,0.001358,-0.120631
1674564408606,-0.190664,0.093162,-0.041938
1674564408616,-0.184949,0.091705,-0.042389
1674564408626,0.039860,0.077859,-0.090566
1674564408636,0.038229,0.076225,-0.090306
1674564408647,-0.020296,0.194365,-0.073356
1674564408657,-0.019399,0.190224,-0.073172
1674564408667,-0.080775,0.198036,-0.025123
1674564408676,-0.078439,0.193868,-0.025068
1674564408688,-0.078479,0.142070,-0.036993
1674564408697,-0.075576,0.139791,-0.037113
1674564408708,0.030204,-0.037195,0.010627
1674564408717,0.029512,-0.036604,0.010652
1674564408728,-0.072837,0.170232,-0.070442
1674564408738,-0.072027,0.163412,-0.070059
1674564408747,-0.108556,0.109979,-0.077021
1674564408758,-0.105373,0.106631,-0.077088
